"surrogate_uuid","group_id","txt_name","theme_id","type_id"
"2c90f588404b484801404d8600d87748","TXA9548","RÈGLEMENT (UE) N°715/2013 DE LA COMMISSION du 25 juillet 2013 établissant les critères permettant de déterminer à quel moment les débris de cuivre cessent d’être des déchets au sens de la directive 2008/98/CE du Parlement européen et du Conseil","4028807d16245e4d01162524c71b6a4d","4028807d16245e4d01162524ed896c33"
"2c90f588404b484801404dce49f11efc","TXA9550","Arrêté du 16 juillet 2013 fixant le barème hors taxes des redevances prévues à l'article L. 554-5 du code de l'environnement pour l'année 2013","ff8081816b4d71ef016b54e0b788416d","4028807d16245e4d01162524db946b37"
"2c90f588404b484801404df98f7140d7","TXA9551","Circulaire du 19 juillet 2013 relative à la mise en œuvre des polices administratives et pénales en matière d’Installations Classées pour la Protection de l’Environnement","4028807d16245e4d01162524c9ec6a71","4028807d16245e4d01162524e34f6ba3"
"2c90f588404b484801404dfacbff443e","TXA6407","Circulaire du 3 août 2007 relative au installations classées - Arrêt du Conseil d'Etat du 9 juillet 2007 sur la procédure de mise en demeure","4028807d16245e4d01162524c9ec6a71","4028807d16245e4d01162524e34f6ba3"
"2c90f588404b484801404e0154db49b0","TXA6507","Circulaire n° 98-72 du 18 juin 1998 relative aux installations classées pour la protection de l'environnement : Mise en demeure prévue par l'article 23 de la loi du 19 juillet 1976","4028807d16245e4d01162524c9ec6a71","4028807d16245e4d01162524e34f6ba3"
"2c90f588404b484801404e0553614a10","TXA5560","Circulaire BPSPR/2006-77/LO du 8 février 2007 relative aux Installations Classées - Modalité d'application de la procédure de consignation prévue à l'article 514-1 du code de l'environnement","4028807d16245e4d01162524c9ec6a71","4028807d16245e4d01162524e34f6ba3"
"2c90f588404b484801404e5f94ee6d3f","TXA9552","Avis aux organismes agréés par les ministres en charge de l’environnement et de l’industrie\nen application de l’article R. 543-99 du code de l’environnement","4028807d16245e4d01162524c4c46a32","4028807d16245e4d01162524e20d6b91"
"2c90f588404b48480140588b113b2317","TXA6931","Code du Travail - Articles R. 4535-1 à R. 4535-12 : Dispositions applicables aux travailleurs indépendants (bâtiment et génie civil) (Partie réglementaire, Quatrième partie, Livre V, Titre III, Chapitre V)","4028807d16245e4d01162524d1416acb","4028807d16245e4d01162524e0ba6b7f"
"2c90f588404b4848014058a6510a2eb4","TXA8582","Arrêté du 31 août 2010 fixant les conditions d'achat de l'électricité produite par les installations utilisant l'énergie radiative du soleil telles que visées au 3° de l'article 2 du décret n° 2000-1196 du 6 décembre 2000","d37394453d863f29013daaf3cf6451fe","4028807d16245e4d01162524db946b37"
"2c90f588404b4848014058c7b21752ab","TXA9355","Arrêté du 12 décembre 2012 relatif aux critères d'évaluation de l'état de conservation des matériaux et produits de la liste A contenant de l'amiante et au contenu du rapport de repérage","d37394c522a42328012338c87f4c2c22","4028807d16245e4d01162524db946b37"
"2c90f588404b4848014058cc83c0781b","TXA9553","Circulaire du 25 juin 2013 relative au traitement des plates-formes économiques dans le cadre des Plans de Prévention des Risques Technologiques (PPRT)","4028807d16245e4d01162524c8846a5f","4028807d16245e4d01162524e34f6ba3"
"2c90f588404b4848014058cc9bdf7906","TXA9356","Arrêté du 12 décembre 2012 relatif aux critères d'évaluation de l'état de conservation des matériaux et produits de la liste B contenant de l'amiante et du risque de dégradation lié à l'environnement ainsi que le contenu du rapport de repérage","d37394c522a42328012338c87f4c2c22","4028807d16245e4d01162524db946b37"
